alto cargo	NCCSO00
cada quisque	NCMS000
caj.	Y
calamo currente	LOC_ADV
cap.	Y
Cap. Fed.	Y
cap.º	Y
capin melao	LOC_ADV
cara a cara	LOC_ADV
cara abajo	LOC_ADV
cara arriba	LOC_ADV
carpe diem	LOC_ADV
casa museo	NCFS000
casas museo	NCFP000
casi que	LOC_CS
casus belli	LOC_ADV
Cdad.	Y
cent.	Y
cf.	Y
cfr.	Y
cgo.	Y
ch/	Y
chaise longue	NCFS000
chill out	NCMS000
cien por cien	LOC_ADV
ciento por ciento	LOC_ADV
ciento y la madre	LOC_ADV
cje.	Y
cl.	Y
Cmdt.	Y
Cmte.	Y
Cnel.	Y
cochite hervite	LOC_ADV
codo a codo	LOC_ADV
codo con codo	LOC_ADV
coitus interruptus	NCMN000
col.	Y
como a los ojos de su cara	LOC_ADV
como a real de enemigo	LOC_ADV
como ahora es de día	LOC_ADV
como alma que lleva el diablo	LOC_ADV
como caído de las nubes	LOC_ADV
como de la noche al día	LOC_ADV
como dos y dos son cuatro	LOC_ADV
como el convidado de piedra	LOC_ADV
como el día a la noche	LOC_ADV
como el perro y el gato	LOC_ADV
como es de día	LOC_ADV
como es debido	LOC_ADV
como estamos aquí tú y yo	LOC_ADV
como está mandado	LOC_ADV
como hay Dios	LOC_ADV
como hecho de encargo	LOC_ADV
como la palma de la mano	LOC_ADV
como los chorros del oro	LOC_ADV
como mucho	LOC_ADV
como mínimo	LOC_ADV
como oro en paño	LOC_ADV
como Pedro por su casa	LOC_ADV
como por ensalmo	LOC_ADV
como que	LOC_CS
como quien dice	LOC_ADV
como quien no quiere la cosa	LOC_ADV
como quien oye llover	LOC_ADV
como quiera que	LOC_CS
como si no hubiera dicho nada	LOC_ADV
como si tal cosa	LOC_ADV
como un pepe	LOC_ADV
Comod.	Y
Comp.	Y
Comte.	Y
con carácter de	LOC_PREP
con claridad meridiana	LOC_ADV
con conocimiento de causa	LOC_ADV
con creces	LOC_ADV
con efecto desde	LOC_PREP
con el culo al aire	LOC_ADV
con el ojo tan largo	LOC_ADV
con el sudor de la frente	LOC_ADV
con excepción de	LOC_PREP
con honores de	LOC_PREP
con la ayuda de Dios	LOC_ADV
con la boca abierta	LOC_ADV
con la casa a cuestas	LOC_ADV
con la condición de	LOC_PREP
con la espada desnuda	LOC_ADV
con la frente alta	LOC_ADV
con la frente bien alta	LOC_ADV
con la frente levantada	LOC_ADV
con la lengua de un palmo	LOC_ADV
con la lengua fuera	LOC_ADV
con la mano en el corazón	LOC_ADV
con la música a otra parte	LOC_ADV
con la soga al cuello	LOC_ADV
con la vida en un hilo	LOC_ADV
con las manos cruzadas	LOC_ADV
con las manos vacías	LOC_ADV
con las orejas caídas	LOC_ADV
con las orejas gachas	LOC_ADV
con las orejas tan largas	LOC_ADV
con las piernas cruzadas	LOC_ADV
con lo que respecta a	LOC_PREP
con los cinco sentidos	LOC_ADV
con los ojos cerrados	LOC_ADV
con los pies delante	LOC_ADV
con mal pie	LOC_ADV
con mala idea	LOC_ADV
con mano escasa	LOC_ADV
con mano pesada	LOC_ADV
con mil amores	LOC_ADV
con miquis	LOC_ADV
con miras a	LOC_PREP
con moto	LOC_ADV
con mucho gusto	LOC_ADV
con objeto de	LOC_PREP
con objeto que	LOC_CS
con ocasión de	LOC_PREP
con pelos y señales	LOC_ADV
con pies de plomo	LOC_ADV
con puntos y comas	LOC_ADV
con relación a	LOC_PREP
con respecto a	LOC_PREP
con respecto de	LOC_PREP
con solo que	LOC_CS
con sordina	LOC_ADV
con tal de	LOC_PREP
con tal de que	LOC_CS
con tal que	LOC_CS
con toda la barba	LOC_ADV
con toda la boca	LOC_ADV
con toda normalidad	LOC_ADV
con todas las de la ley	LOC_ADV
con todo y con eso	LOC_ADV
con un palmo de lengua	LOC_ADV
con uñas y dientes	LOC_ADV
con valor de	LOC_PREP
con viento fresco	LOC_ADV
con vistas a	LOC_PREP
con zurrapas	LOC_ADV
conforme a	LOC_PREP
consecutio temporum	LOC_ADV
contra reloj	LOC_ADV
contra rembolso	LOC_ADV
contra viento y marea	LOC_ADV
contradictio in terminis	NCFS000
Contralmte.	Y
coord.	Y
coord.ª	Y
coram populo	LOC_ADV
corpore insepulto	LOC_ADV
corriente y moliente	AQ0CS0
cp.	Y
crec.	Y
cta.	Y
cta. cte.	Y
Cte.	Y
cts.	Y
ctv.	Y
ctvo.	Y
cuanto antes	LOC_ADV
cum laude	LOC_ADJ
cum laude	LOC_ADV
curriculum vitae	LOC_ADV
curriculum vitae	NCMN000
cálamo currente	LOC_ADV
Cástor y Pólux	LOC_ADV
cént.	Y
Cía.	Y
cód.	Y
cónf.	Y
cónfr.	Y
córam pópulo	LOC_ADV
D.	Y
d. C.	Y
d. de C.	Y
d. de J. C.	Y
D. E. P.	Y
D. F.	Y
d. J. C.	Y
D. L.	Y
D. m.	Y
D. P.	Y
D.ª	Y
d/f	Y
d/v	Y
da capo	LOC_ADV
dado que	LOC_CS
dalái lama	NPMNSP0
darse de alta	LOC_ADV
dcha.	Y
dcho.	Y
de a folio	LOC_ADV
de a veras	LOC_ADV
de acarreo	LOC_ADV
de acuerdo con	LOC_PREP
de acá para allá	LOC_ADV
de ahí que	LOC_CS
de al lado de	LOC_PREP
de alto copete	LOC_ADV
de alto coturno	LOC_ADV
de altos vuelos	LOC_ADV
de amplio espectro	LOC_ADV
de andar por casa	LOC_ADV
de anequín	LOC_ADV
de antemano	LOC_ADV
de aquí en adelante	LOC_ADV
de aquí para allí	LOC_ADV
de aquí que	LOC_CS
de armas tomar	LOC_ADV
de arrastre	LOC_ADV
de arte mayor	LOC_ADV
de arte menor	LOC_ADV
de aúpa	LOC_ADV
de baja estofa	LOC_ADV
de bajo vuelo	LOC_ADV
de balde	LOC_ADV
de ballesta	LOC_ADV
de barra a barra	LOC_ADV
de boca en boca	LOC_ADV
de bote en bote	LOC_ADV
de bracero	LOC_ADV
de bruces	LOC_ADV
de buen efecto	LOC_ADV
de buen grado	LOC_ADV
de buen tono	LOC_ADV
de buena cepa	LOC_ADV
