#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
Dave Yost	NNP
Max Levchin	NNP
Premal Shah	NNP
Luke Nosek	NNP
Ken Howery	NNP
Keith Rabois	NNP
Roelof Botha	NNP
Jared Kopf	NNP
Jack Selby	NNP
Fairchild Semiconductor	NNP
Renault Twingo	NNP
Li Shufu	NNP
Vanessa Hudgens	NNP
Audi e-tron	NNP
Académie Française	NNP
Agence France-Presse	NNP
Mario Strikers	NNP
Carlos Tavares	NNP
Anna Cavazzini	NNP
Vostok Tower	NNP
Rönesans Holding	NNP
Course Hero	NNP
Alan Shepard	NNP
Friedrich von Weech	NNP
Hugh Laurie	NNP
Ben Shapiro	NNP
Grigor Dimitrov	NNP
Bienville Parish	NNP
Tomales Bay	NNP
Dexfield Park	NNP
Oak Ridge	NNP
Florian Wirtz	NNP
Uwe Seeler	NNP
Franz Beckenbauer	NNP
Rudi Völler	NNP
Lothar Matthäus	NNP
Gerd Müller	NNP
Meek Mill	NNP
Rick Ross	NNP
Kirstie Alley	NNP
John McEnroe	NNP
Pete Sampras	NNP
Björn Borg	NNP
Ivan Lendl	NNP
Andy Murray	NNP
Siverskyi Donets River	NNP
picture alliance	NNP
Picture Alliance	NNP
Stanley Yelnats	NNP
Anders Celsius	NNP
Feng shui	NNP
Feng Shui	NNP
Lex Luthor	NNP
Romero Britto	NNP
Young Jeezy	NNP
Air Cairo	NNP
Air Arabia	NNP
Black+Decker	NNP
Black + Decker	NNP
Black & Decker	NNP
Nile Air	NNP
St Germain	NNP
St. Germain	NNP
Mustang Mach-E	NNP
Motown Records	NNP
Bertelsmann Music Group	NNP
Tiger Woods	NNP
Nick Nolte	NNP
Martin Lawrence	NNP
Laurence Fishburne	NNP
Peter Stuyvesant	NNP
New Netherland	NNP
Kurt Gerstein	NNP
Hawaiian Airlines	NNP
Ltda.	NNP
Patrice Lumumba	NNP
UEFA Youth League	NNP
Tucai Group	NNP
Nikolai Patrushev	NNP
Sergei Shoigu	NNP
Super League	NNP
GitHub Copilot	NNP
Teutoburg Forest	NNP
Anna Wintour	NNP
Met Gala	NNP
Solange Knowles	NNP
Thierry Mugler	NNP
Lauda Air	NNP
Opel Zafira	NNP
Sepp Blatter	NNP
Tom Jones	NNP
Estée Lauder	NNP
Kate Millett	NNP
Giro d'Italia	NNP
Giro d’Italia	NNP
Triple Entente	NNP
Villa Reale di Marlia	NNP
mm/dd/yyyy	SYM
MM/DD/YYYY	SYM
dd/mm/yyyy	SYM
DD/MM/YYYY	SYM
Rudolf Caracciola	NNP
Glastonbury Festival	NNP
Hội An	NNP
Hawai'i	NNP
Hawai’i	NNP
Hawaiʻi	NNP
Stieg Larsson	NNP
Charli D'Amelio	NNP
Charli D’Amelio	NNP
Yolanda Díaz	NNP
Ruja Ignatova	NNP
Wassily Leontief	NNP
Sheldon Cooper	NNP
Kate Bush	NNP
Starsky & Hutch	NNPS
Starsky and Hutch	NNPS
Highland Park	NNP
George Ezra	NNP
Stavns Fjord	NNP
William Cronon	NNP
Ambroise Vollard	NNP
NTT DoCoMo	NNP
NTT Docomo	NNP
Nintendo DS	NNP
Sony Xperia	NNP
Es Vedrà	NNP
Sajid Javid	NNP
Chris Pincher	NNP
Christopher Pincher	NNP
Nadine Dorries	NNP
Vijay Mallya	NNP
WIZZ Air	NNP
Stephen Daldry	NNP
Bruno Fernandes	NNP
Stepan Bandera	NNP
Nick Kyrgios	NNP
MTV Unplugged	NNP
Timothy Chandler	NNP
Cypress Hill	NNP
Chrome DevTools	NNPS
Grigor Dimitrov	NNP
Chris Pratt	NNP
Anna Faris	NNP
Robert Oppenheimer	NNP
Three Arrows Capital	NNP
Gianni Versace	NNP
Álvaro Uribe	NNP
Álvaro Uribe Vélez	NNP
Jacob Burckhardt	NNP
Edelweiss Air	NNP
Penny Mordaunt	NNP
Rishi Sunak	NNP
Nadhim Zahawi	NNP
Adam Neumann	NNP
Jade Wesker	NNP
Albert Wesker	NNP
Billie Wesker	NNP
Jill Valentine	NNP
Chris Redfield	NNP
Sheva Alomar	NNP
Ada Wong	NNP
Rafael Caro Quintero	NNP
Lisandro Martínez	NNP
Frenkie de Jong	NNP
Dacia Duster	NNP
Matthijs de Ligt	NNP
Kopa Trophy	NNP
Jong Ajax	NNP
Vitesse Arnhem	NNP
Lokomotiv Moscow	NNP
de Ligt	NNP
Darkwing Duck	NNP
Daisy Duck	NNP
Fauntleroy Duck	NNP
Minnie Mouse	NNP
Dacia Logan	NNP
Renault Sandero	NNP
Robbie Williams	NNP
Champions Hockey League	NNP
Tom Steyer	NNP
Andrew Yang	NNP
Cory Booker	NNP
Klaus Schwab	NNP
Oliver Blume	NNP
Lady Bunny	NNP
Arleigh Burke	NNP
D. B. Cooper	NNP
D.B. Cooper	NNP
van Zant	NNP
van Zandt	NNP
Dell Technologies	NNP
Toyota Crown	NNP
Toyota Century	NNP
Toyota Cressida	NNP
Toyota bZ4X	NNP
Pet Shop Boys	NNPS
Jonas Vingegaard	NNP
Wout van Aert	NNP
Tadej Pogačar	NNP
Primož Roglič	NNP
Sepp Kuss	NNP
Jakob Fuglsang	NNP
Magnus Cort	NNP
Geraint Thomas	NNP
Filippo Ganna	NNP
Britta Ernst	NNP
Sami Slimani	NNP
Drew McIntyre	NNP
John Wick	NNP
Jack Reacher	NNP
Chris Evans	NNP
Cinema EOS	NNP
Three Mile Island	NNP
Amazon SageMaker	NNP
AWS SageMaker	NNP
Amazon Lightsail	NNP
AWS Lightsail	NNP
Hacker News	NNP
Benjamin Harrison	NNP
Grover Cleveland	NNP
Millard Fillmore	NNP
Franklin Pierce	NNP
Calvin Coolidge	NNP
Herbert Hoover	NNP
Zachary Taylor	NNP
Lyndon Baines Johnson	NNP
James Knox Polk	NNP
James K. Polk	NNP
Warren Gamaliel Harding	NNP
Warren G. Harding	NNP
William Henry Harrison	NNP
William H. Harrison	NNP
Martin Van Buren	NNP
van Buren	NNP
Franklin Delano Roosevelt	NNP
Franklin D. Roosevelt	NNP
James Abram Garfield	NNP
James A. Garfield	NNP
James Garfield	NNP
Giorgia Meloni	NNP
Fratelli d'Italia	NNP
Via della	NNP
Mario Monti	NNP
Forza Italia	NNP
Mara Carfagna	NNP
Elisabetta Casellati	NNP
Pier Ferdinando Casini	NNP
Elisabetta Belloni	NNP
Sabino Cassese	NNP
Marta Cartabia	NNP
Enrico Letta	NNP
Terrence Howard	NNP
Petro Doroshenko	NNP
Darwin Núñez	NNP
Tesla Grohmann	NNP
Andrew Tate	NNP
Bill Burns	NNP
Collabora Online	NNP
Collabora Office	NNP
Banque Populaire	NNP
Alfa Bank	NNP
Tinkoff Bank	NNP
HP EliteBook	NNP
HP ProBook	NNP
Fort Bragg	NNP
NYU Langone	NNP
Dodi Fayed	NNP
Dodi Al-Fayed	NNP
HP OfficeJet	NNP
Peter Ustinov	NNP
Rainbow Warrior	NNP
Olivia Newton-John	NNP
Dušan Tadić	NNP
Jimmy Neutron	NNP
Marcus Mumford	NNP
Emma Watson	NNP
Anne Heche	NNP
Ocean Pointe	NNP
Royal Kunia	NNP
Ewa Beach	NNP
E=mc²	SYM
E = mc²	SYM
Jason Calacanis	NNP
Salman Rushdie	NNP
Ashraf Ghani	NNP
Model Ys	NNPS
Model 3s	NNPS
&nbsp;	SYM
Stacy Abrams	NNP
IG Farben	NNP
I.G. Farben	NNP
Patek Philippe	NNP
Jim Ratcliffe	NNP
Country Garden	NNP
Pete Doherty	NNP
Balmoral Castle	NNP
Gautam Adani	NNP
Charlie Crist	NNP
Ewa Beach	NNP
Hana Highway	NNP
Road to Hana	NNP
Amy Gutmann	NNP
Jennifer Coolidge	NNP
Jennifer Connelly	NNP
Val Kilmer	NNP
Miles Teller	NNP
Alessandro Chiocchetti	NNP
Fort DeRussy	NNP
Kuhio Beach	NNP
Dr. Ing.	SYM
Gigi Hadid	NNP
Vox Media	NNP
basso continuo	NN:UN
basso continuos	NNS
Ferrari Purosangue	NNP
T. Rowe Price	NNP
T Rowe Price	NNP
Anthony Modeste	NNP
Mike Lindell	NNP
Grand Cherokee	NNP
Subaru Outback	NNP
Dodge Charger	NNP
Jeep Cherokee	NNP
Ford Explorer	NNP
Nissan Altima	NNP
Toyota Camry	NNP
Honda Civic	NNP
David Malpass	NNP
Ilham Aliyev	NNP
Lorenzo Brown	NNP
Bob Chapek	NNP
Martha's Vineyard	NNP
Martha’s Vineyard	NNP
Son Heung-min	NNP
Heung-min Son	NNP
Nan Madol	NNP
Crystal Palace	NNP
James Corden	NNP
Stora Enso	NNP
Winneshiek County	NNP
University of Lucknow	NNP
Howey Test	NNP
We Bare Bears	NNP
Li Lu	NNP
John F. Kennedy	NNP
Tyson Foods	NNP
Biscayne Bay	NNP
Nikolai Valuev	NNP
George Pataki	NNP
Ala Moana	NNP
Warren G	NNP
N.W.A.	NNP
Mathias Döpfner	NNP
Lula da Silva	NNP
Remington Steele	NNP
Erik ten Hag	NNP
ten Hag	NNP
Jorge Mendes	NNP
Accenture Song	NNP
Amal Clooney	NNP
Kwasi Kwarteng	NNP
Garry Kasparov	NNP
Herschel Walker	NNP
Alibaba Group	NNP
Herschel Grynszpan	NNP
Jeddah Tower	NNP
Svante Pääbo	NNP
Mahsa Amini	NNP
Schottky diode	NN
Schottky diodes	NNS
Chicago Blackhawks	NNPS
Kerch Bridge	NNP
Kerch Strait Bridge	NNP
Edin Terzić	NNP
Jim Cramer	NNP
Iker Casillas	NNP
Anna Sorokin	NNP
Philipp Plein	NNP
Tyra Banks	NNP
Ekstra Bladet	NNP
Max Beckmann	NNP
Otto Dix	NNP
Max Liebermann	NNP
Lovis Corinth	NNP
Emil Nolde	NNP
Qwest Communications	NNP
Ghawar Field	NNP
Safaniya Field	NNP
DMG Mori	NNP
Eurofighter Typhoon	NNP
Ben Bernanke	NNP
KION Group	NNP
Kion Group	NNP
Jean Hyppolite	NNP
Sarah Parcak	NNP
Jeffrey Dahmer	NNP
Jeremy Hunt	NNP
Tom Tugendhat	NNP
Marcus Butler	NNP
Jeff Dahmer	NNP
Federico Valverde	NNP
Fede Valverde	NNP
Rio Ferdinand	NNP
Charlie Hunnam	NNP
Haus Publishing	NNP
Arba Minch	NNP
mazel tov	UH
Bahir Dar	NNP
Gilmore Girls	NNPS
ID Buzz	NNP
Wolf of Wall Street	NNP
Kevin Spacey	NNP
Robin Wright	NNP
Ben Wallace	NNP
Los Angeles Times	NNP
LA Times	NNP
L.A. Times	NNP
Tampa Bay Times	NNP
Maharashtra Times	NNP
Brittney Griner	NNP
Horizon Worlds	NNP
Golden Dragon China Index	NNP
Airbus Beluga	NNP
Nova Kakhovka	NNP
Dneprostroi Dam	NNP
Kryvyi Rih	NNP
Süddeutsche Zeitung	NNP
Thierry Breton	NNP
Patong Beach	NNP
Doug Mastriano	NNP
Ali Daei	NNP
Fahmi Quadir	NNP
Swiss Federal Railways	NNP
Aleph Alpha	NNP
Springer Nature	NNP
Eli Lilly	NNP
Inglourious Basterds	NNP
Daniel Brühl	NNP
Til Schweiger	NNP
Michael Fassbender	NNP
Björn Gulden	NNP
Jordan Bardella	NNP
Kari Lake	NNP
ignis fatuus	NN
ignes fatui	NNS
Precision Air	NNP
John Fetterman	NNP
Maxwell Frost	NNP
Maura Healey	NNP
Lee Zeldin	NNP
Huckabee Sanders	NNP
Brian Kemp	NNP
Wes Moore	NNP
Markwayne Mullin	NNP
Brian Dahle	NNP
Abigail Spanberger	NNP
Jennifer Wexton	NNP
Gretchen Whitmer	NNP
Tudor Dixon	NNP
Chichén Itzá	NNP
Bill Bowerman	NNP
Lenovo ThinkStation	NNP
Richard von Weizsäcker	NNP
von Weizsäcker	NNP
Niclas Füllkrug	NNP
Justin Verlander	NNP
Youssoufa Moukoko	NNP
Mario Götze	NNP
Changpeng Zhao	NNP
Karim Adeyemi	NNP
VMware ESXi	NNP
Niklas Süle	NNP
Patrick Esume	NNP
Joko Widodo	NNP
Anies Baswedan	NNP
Mahathir Mohamad	NNP
Ismail Sabri Yaakob	NNP
Sabri Yaakob	NNP
Pete Davidson	NNP
Paw Patrol	NNP
PAW Patrol	NNP
Sundance Film Festival	NNP
San Andrés	NNP
Fools Garden	NNP
San Marcos	NNP
Robinson Crusoe	NNP
Universal Records	NNP
Toronto Blue Jays	NNP
GP Bullhound	NNP
Ivan Toney	NNP
Cadillac Escalade	NNP
Jeremy Fragrance	NNP
Telefónica Germany	NNP
Prosciutto di Parma	NNP
Stormy Daniels	NNP
Antonio Rüdiger	NNP
John Stumpf	NNP
Jared Kushner	NNP
Freddie Mac	NNP
Jung Kook	NNP
Kia Sportage	NNP
Enner Valencia	NNP
Diomede Islands	NNPS
Big Diomede	NNP
Little Diomede	NNP
vox populi vox Dei	UH
vox populi, vox Dei	UH
Sporting de Braga	NNP
S.C. Braga	NNP
SC Braga	NNP
Sporting Cristal	NNP
Mick Wallace	NNP
Steve Bannon	NNP
Alex Jones	NNP
Bukayo Saka	NNP
Marcus Rashford	NNP
Mechanical Turk	NNP
Bob Iger	NNP
Timothy Weah	NNP
Guido Crosetto	NNP
World Wide Web Consortium	NNP
Stable Diffusion	NNP
Dani Olmo	NNP
Brian Cox	NNP
Brian Wilson	NNP
GitHub Packages	NNP
ad captandum	JJ
ad captandum vulgus	JJ
rara avis	NN
rara avis	NN
rarae aves	NNS
rara avises	NNS
Christian Pulisic	NNP
Glenn Greenwald	NNP
Mauna Loa	NNP
Mauna Kea	NNP
Cody Gakpo	NNP
Bruno Fernandes	NNP
Olivier Giroud	NNP
Didier Reynders	NNP
Banco do Brasil	NNP
Denzel Dumfries	NNP
Max Seddon	NNP
Sam Altman	NNP
Sergio Massa	NNP
Louis van Gaal	NNP
van Gaal	NNP
Dinamo Zagreb	NNP
Air Malta	NNP
Monte Carlo	NNP
Académie des sciences	NNP
Viktor Bout	NNP
Charles Schwab	NNP
Redwood City	NNP
Vinícius Júnior	NNP
Vinícius Jr	NNP
Bugsy Siegel	NNP
Meyer Lansky	NNP
Lucky Luciano	NNP
Frank Costello	NNP
Xin Zhui	NNP
Lady Dai	NNP
Ethan Hawke	NNP
Eva Kaili	NNP
Erich Mielke	NNP
Sam Brinton	NNP
Klaus Barbie	NNP
Morbid Angel	NNP
Kumho Tire	NNP
Kumho Tyre	NNP
Lionel Scaloni	NNP
Di María	NNP
Emiliano Martínez	NNP
Marcos Acuña	NNP
Kolo Muani	NNP
Hyundai Rotem	NNP
Zürcher Geschnetzeltes	NNP
Absolut Vodka	NNP
Pernod Ricard	NNP
Isles of Scilly	NNP
mastodon.social	NNP
Michael Bublé	NNP
Caroline Ellison	NNP
El Gordo	NNP
Sig Sauer	NNP
FN Herstal	NNP
Sun Microsystems	NNP
Alan Watts	NNP
Fira Sans	NNP
Thulsa Doom	NNP
Franklin Gothic	NNP
Johanna Elberskirchen	NNP
Helene Lange	NNP
Giacomo Agostini	NNP
Place de l'Étoile	NNP
Place Charles de Gaulle	NNP
Markus Krebber	NNP
erythema multiforme	NN:UN
erythema multiformes	NNS
bin Zayed	NNP
Al Nahyan	NNP
Mel C	NNP
Pete Buttigieg	NNP
J. B. Pritzker	NNP
Nina Hoss	NNP
Théophile Gautier	NNP
Oude Kerk	NNP
camera lucida	NN
camera lucidas	NNS
camera obscura	NN
camera obscuras	NNS
Musée du Louvre	NNP
Simon Duiker	NNP
Dirck van Baburen	NNP
van Baburen	NNP
Alameda Research	NNP
Stamford Hill	NNP
Pontiac Trans Am	NNP
Trans Am	NNP
Andy Milonakis	NNP
El Rubius	NNP
Pontiac Firebird	NNP
Pontiac Aztek	NNP
Eddie Vedder	NNP
Norges Bank	NNP
Hockney–Falco	NNP
Rishab Shetty	NNP
Forest Whitaker	NNP
Steven Tyler	NNP
Mick Jagger	NNP
Ally Pally	NNP
Guillermo del Toro	NNP
Andrea Pirlo	NNP
Paolo Maldini	NNP
Al Nassr	NNP
Peter Lynch	NNP
Dana White	NNP
Kris Jenner	NNP
Caitlyn Jenner	NNP
Hakeem Jeffries	NNP
Subramanian Swamy	NNP
Dorothy Dandridge	NNP
Next.js	NNP
Express.js	NNP
Cash App	NNP
Fortescue Metals	NNP
Port Hedland	NNP
BHP Billiton	NNP
Sole 24 Ore	NNP
Il Sole 24 Ore	NNP
GE HealthCare	NNP
GE Healthcare	NNP
AWS CloudWatch	NNP
Amazon CloudWatch	NNP
Edward Norton	NNP
Hugging Face	NNP
George Santos	NNP
Hovey Channel	NNP
Lenox Hills	NNP
Lenox Hill	NNP
Tobosa Basin	NNP
Capitan Formation	NNP
Nuri Şahin	NNP
Michael Andretti	NNP
Byron Donalds	NNP
John Cornyn	NNP
Lloyd Doggett	NNP
Freedom Caucus	NNP
Jim Jordan	NNP
Andy Biggs	NNP
Scott Perry	NNP
Inspector Clouseau	NNP
Bobby Charlton	NNP
Paolo Rossi	NNP
Bed Bath & Beyond	NNP
United World Wrestling	NNP
Daley Blind	NNP
Colonia Dignidad	NNP
El Niños	NNPS
von Bellingshausen	NNP
Fabian Gottlieb von Bellingshausen	NNP
Sierra Madre	NNP
Saxo Bank	NNP
Fulda Gap	NNP
Ovidio Guzmán	NNP
Ovidio Guzmán López	NNP
Frankie Muniz	NNP
Ibaneis Rocha	NNP
Palácio do Planalto	NNP
José Sarney	NNP
Palácio da Alvorada	NNP
TUI Cruises	NNP
Vince McMahon	NNP
Jil Sander	NNP
Marc Jacobs	NNP
Taylor Wessing	NNP
Joachim Wuermeling	NNP
Barney Stinson	NNP
Remo Ruffini	NNP
Lisa Marie Presley	NNP
Santa Ynez	NNP
hidradenitis suppurativa	NN:U
aplastic anemia	NN:UN
aplastic anemias	NNS
Boehringer Ingelheim	NNP
Yeti Airlines	NNP
Boris Pistorius	NNP
Kenneth Rogoff	NNP
Paul Gosar	NNP
alopecia totalis	NN:U
Étienne Davignon	NNP
Optimus Prime	NNP
Mikhail Fridman	NNP
Ultra Magnus	NNP
Rodimus Prime	NNP
Sentinel Prime	NNP
Ted Mosby	NNP
Sergio Ramos	NNP
LinkedIn Sales Navigator	NNP
Mark Milley	NNP
La Pedrera	NNP
Tom Zhu	NNP
RWE Offshore Wind	NNP
Petróleo Brasileiro	NNP
Chris Hipkins	NNP
Ron Perlman	NNP
Grand Seiko	NNP
Societas Europaea	NNP
STOXX Europe	NNP
Linsey Davis	NNP
Mike Sievert	NNP
Marcel Sabitzer	NNP
Segunda División	NNP
Thibaut Courtois	NNP
Manuel Pellegrini	NNP
Alberto Fernández	NNP
João Cancelo	NNP
Rúben Dias	NNP
João Félix	NNP
Shaquille O’Neal	NNP
Shaq O’Neal	NNP
Shaquille O'Neal	NNP
Shaq O'Neal	NNP
Costa Concordia	NNP
Sándor Márai	NNP
Steffen Hebestreit	NNP
Tyre Nichols	NNP
An Lushan	NNP
Raquel Welch	NNP
Jane Fonda	NNP
Norfolk Southern	NNP
Norfolk Southern Railways	NNP
Canterville Ghost	NNP
Markus Eisenbichler	NNP
Karl Geiger	NNP
Dayot Upamecano	NNP
Seymour Hersh	NNP
Piotr Zieliński	NNP
Victor Osimhen	NNP
Linux Mint	NNP
Jordan Peterson	NNP
Tommy Fury	NNP
Heidelberg Materials	NNP
Victoria Nuland	NNP
Adani Group	NNP
Basler Zeitung	NNP
Molson Coors	NNP
Grant Thornton	NNP
Bernstein Research	NNP
Sigur Rós	NNP
Bella Ramsey	NNP
Pedro Pascal	NNP
Frogmore Cottage	NNP
Frogmore House	NNP
Meghan Trainor	NNP
Giovanni Trapattoni	NNP
Hilary Duff	NNP
Hilary Swank	NNP
Luiz Inácio Lula da Silva	NNP
Tate Modern	NNP
Tate Gallery	NNP
Ikke Hüftgold	NNP
William Turner	NNP
Grand Hyatt	NNP
Satudarah MC	NNP
Ig Nobel Prize	NNP
Milton Friedman	NNP
pro rata temporis	RB
Stierlin Court	NNP
Silicon Valley Bank	NNP
RBC Capital Markets	NNP
First Republic Bank	NNP
Signature Bank	NNP
Apollo Global Management	NNP
Johannes von Wesel	NNP
de minimis	JJ
Gunderson Dettmer	NNP
Van Horne	NNP
Alvin Bragg	NNP
Saudi National Bank	NNP
Joan Mir	NNP
Val di Noto	NNP
San Gregorio	NNP
Google Bard	NNP
Kofi Annan	NNP
PacWest Bancorp	NNP
Steve Miller Band	NNP
Joan Miró	NNP
Max Ernst	NNP
Maria Dolors Miró	NNP
Conan Doyle	NNP
Reed Smith	NNP
ING Group	NNP
Rajang River	NNP
Crédit Mutuel	NNP
Crédit Mutuel Arkéa	NNP
Crédit Industriel et Commercial	NNP
Crédit Industriel	NNP
Lamar Jackson	NNP
Alicia Keys	NNP
Swizz Beatz	NNP
Christina Aguilera	NNP
John Legend	NNP
Pharrell Williams	NNP
Bruno Mars	NNP
John Mayer	NNP
Jennifer Hudson	NNP
Bobby Brown	NNP
Clive Davis	NNP
Toni Braxton	NNP
Diana Ross	NNP
Sanssouci Park	NNP
Sanssouci Palace	NNP
Joy Behar	NNP
Evan Gershkovich	NNP
Cuba libre	NNP
Cuba Libre	NNP
Baker McKenzie	NNP
Juan Merchan	NNP
Doogie Howser	NNP
Fritz Haber	NNP
William Crookes	NNP
Honoré de Balzac	NNP
Reliance Industries	NNP
Crate&Barrel	NNP
Crate & Barrel	NNP
BMW XM	NNP
British Telecom	NNP
BT Group	NNP
Chun Doo-hwan	NNP
Bandar Seri Begawan	NNP
Han Zheng	NNP
William J. Burns	NNP
William Burns	NNP
Sono Motors	NNP
Jack Teixeira	NNP
Alex Teixeira	NNP
Qin Gang	NNP
Mike Lawler	NNP
Yevgeny Prigozhin	NNP
Hannover Messe	NNP
expl.	JJ
ABN AMRO	NNP
Forrester Wave	NNP
IDC MarketScape	NNP
Alexander Wynaendts	NNP
James Quincey	NNP
Ramon Laguarta	NNP
Indra Nooyi	NNP
Olof Palme	NNP
Frederick Handley Page	NNP
guanylyl cyclase	NN:U
Friedrich Naumann Foundation	NNP
Friedrich Naumann	NNP
Theodor Heuss	NNP
Heinrich Lübke	NNP
Horst Köhler	NNP
Mount Tamalpais	NNP
Mount Tam	NNP
Julie Chávez Rodríguez	NNP
Chief Wiggum	NNP
Clancy Wiggum	NNP
Charles Montgomery Burns	NNP
Montgomery Burns	NNP
Mr. Burns	NNP
Mr. Smithers	NNP
Waylon Smithers	NNP
Matt Groening	NNP
Marge Simpson	NNP
Bart Simpson	NNP
Marge Simpson	NNP
Lisa Simpson	NNP
Maggie Simpson	NNP
Peter Griffin	NNP
Ned Flanders	NNP
Flying Goose	NNP
hors d'oeuvre	NN:UN
hors d'oeuvres	NNS
Jeff Goldblum	NNP
Rami Malek	NNP
Steve Carell	NNP
Dennis Hastert	NNP
Frank Carlucci	NNP
Matsu Island	NNP
Matsu Islands	NNPS
Lianjiang County	NNP
Howard Carter	NNP
Adi Dassler	NNP
Adolf Dassler	NNP
D.K. Metcalf	NNP
B-52 Stratofortress	NNP
B52 Stratofortress	NNP
Darth Maul	NNP
Count Dooku	NNP
Mace Windu	NNP
Qui-Gon Jinn	NNP
Fred Durst	NNP
Santo Niño	NNP
Kia ProCeed	NNP
Bild am Sonntag	NNP
Diebold Nixdorf	NNP
Vint Cerf	NNP
Vinton Cerf	NNP
Vinton G. Cerf	NNP
Martina Voss-Tecklenburg	NNP
Jan Åge Fjørtoft	NNP
Espiritu Santo	NNP
Human Rights Watch	NNP
Kentucky Derby	NNP
sensu lato	RB
sensu stricto	RB
De Excidio et Conquestu Britanniae	NNP
São Nicolau	NNP
Ray Liotta	NNP
Hamburg Altona	NNP
Jean Carroll	NNP
E. Jean Carroll	NNP
Marla Maples	NNP
Gwynne Shotwell	NNP
Armin Papperger	NNP
Silver Lake	NNP
Paper Trail Media	NNP
Kemal Kılıçdaroğlu	NNP
Linda Yaccarino	NNP
Ahold Delhaize	NNP
Jimmy Wales	NNP
Conor Maynard	NNP
Isaias Afwerki	NNP
Neel Kashkari	NNP
Jeune Afrique	NNP
Lady Macbeth	NNP
sippy cup	NN
sippy cups	NNS
Andy Bechtolsheim	NNP
Led Zeppelin	NNP
Albert Ballin	NNP
San Siro	NNP
Werner von Siemens	NNP
von Siemens	NNP
Mata Hari	NNP
Sanshiro Sugata	NNP
Sanshiro Murao	NNP
La Rochelle	NNP
Kyriakos Mitsotakis	NNP
Catherine Colonna	NNP
Adobe Firefly	NNP
Queen Mab	NNP
S tronic	NNP
S line	NNP
Imran Khan	NNP
Pamela Rendi-Wagner	NNP
Jean-Claude Trichet	NNP
Hermes Fulfilment	NNP
Sag Harbor	NNP
Cesc Fabregas	NNP
verruca vulgaris	NN:U
Xabi Alonso	NNP
David Villa	NNP
Fernando Torres	NNP
Carles Puyol	NNP
Sergio Busquets	NNP
Juan Mata	NNP
Camille Saint-Saëns	NNP
Dassault Systèmes	NNP
Dassault Aviation	NNP
Dassault Group	NNP
Diehl Defence	NNP
DIEHL Defence	NNP
Serge Dassault	NNP
Marcel Dassault	NNP
Veolia Environnement	NNP
Compagnie Générale	NNP
Compagnie Générale des	NNP
Compagnie générale des	NNP
Miroslav Klose	NNP
Michael Ballack	NNP
Antipope Natalius	NNP
Bill Browder	NNP
Samsung Knox	NNP
WD Elements	NNP
Praia da Luz	NNP
Praia da Rocha	NNP
Praia da Vitória	NNP
Praia da Oura	NNP
Praia do Cassino	NNP
Playa del Ingles	NNP
Shannon Sharpe	NNP
mellitic acid	NN:U
mellitic anhydride	NNP
Wacken Open Air	NNP
Kendall Roy	NNP
de novo	RB
Schrems II	NNP
Till Lindemann	NNP
Borsa Italiana	NNP
London Stock Exchange	NNP
Bolsa Mexicana de Valores	NNP
Bertha Benz	NNP
Heinrich Schliemann	NNP
Sophia Schliemann	NNP
Melitta Bentz	NNP
Valery Gerasimov	NNP
Bigben Interactive	NNP
Peter Greenaway	NNP
Tom Tykwer	NNP
Tommy Shelby	NNP
Cat Stevens	NNP
Leonard Cohen	NNP
Tampa Bay Lightning	NNP
Billboard 200	NNP
Columbia University Press	NNP
Los Angeles Galaxy	NNP
Rutherford B. Hayes	NNP
H. G. Wells	NNP
H.G. Wells	NNP
Manchester United F.C.	NNP
Bahá'í Faith	NNP
Anže Kopitar	NNP
Los Angeles Avengers	NNPS
Los Angeles Daily News	NNP
Los Angeles Philharmonic	NNP
Richard Ramirez	NNP
Desiderius Erasmus	NNP
Thomas Cromwell	NNP
Thomas Wolsey	NNP
Anne Boleyn	NNP
Jane Colt	NNP
L. L. Zamenhof	NNP
L.L. Zamenhof	NNP
James K. Polk	NNP
T. S. Eliot	NNP
Arthur C. Clark	NNP
Kareem Abdul-Jabbar	NNP
Ron Suskind	NNP
First Solar	NNP
Bill Burr	NNP
Hannah Waddingham	NNP
Karl Lauterbach	NNP
Nancy Faeser	NNP
Jojo Rabbit	NNP
Taika Waititi	NNP
Yokota Air Base	NNP
Emma Chamberlain	NNP
Jack Harlow	NNP
James Charles	NNP
Ellie Thumann	NNP
Doja Cat	NNP
lupus erythematosus	NN:U
Jeff Merkley	NNP
Bluetooth LE	NNP
Addams Family	NNP
Li Shangfu	NNP
Ogg Vorbis	NNP
Fort Belvoir	NNP
Bernie Madoff	NNP
Luiz Inácio Lula	NNP
Île de France	NNP
Isabel Diaz Ayuso	NNP
Lech Wałęsa	NNP
Ferdinand Piëch	NNP
Ōsanbashi Pier	NNP
Hernán Crespo	NNP
Doña Ana	NNP
Dušan Vlahović	NNP
Cesc Fàbregas	NNP
André Rieu	NNP
Bjørn Gulden	NNP
