#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
vingt et un	D m p
vingt et une	D f p
mille et un	D m p
mille et une	D f p
Mille et Une	D f p
Le Paige	Z e sp
charter school	N f s
charter schools	N f p
trente et un	D m p
trente et une	D f p
quarante et un	D m p
quarante et une	D f p
cinquante et un	D m p
cinquante et une	D f p
soixante et un	D m p
soixante et une	D f p
septante et un	D m p
septante et une	D f p
huitante et un	D m p
huitante et une	D f p
octante et un	D m p
octante et une	D f p
nonante et un	D m p
nonante et une	D f p
Beverly Hills	Z e sp
tortue ninja; N f s
tortues ninja; N f p
melting pot; N e sp
aide ménagère; N f s
bas de gamme; A
Dar L'Ftour; Z e sp
bling bling; I
Cinéma le Grand Action; Z e sp
Primetime Emmy Awards; Z e sp
African journals; Z e sp
Hercule Poirot; Z e sp
mama mia; I
Naomi Watts; Z e sp
fab lab; N m s
fab labs; N mp
Céline Dion; Z e sp
al dente; N e sp
dare dare; I
Christ Church; N f sp
oh la la; I
Robert De Niro; Z e sp
Porto Vecchio; Z e sp
Miley Cyrus; Z f sp
Johnson & Johnson; Z e sp
Sinovac Biotech; Z e sp
pass vaccinal; N m s
Scarlett Johansson; Z e sp
Cécile Borne; Z e sp
Joint European Disruptive Initiative; Z f sp
Cloud Security Alliance; Z f sp
on line; A
J&R Savard; Z e sp
Hôpital d'Instruction des Armées; Z e sp
Artisan Déco; Z e sp
Audible Studios; Z e sp
Mai Tai; Z e sp
prime time; N m s
prime times; N m p
grec ancien; N m sp
Direction générale des Impôts; Z e sp
Estes Park; Z e sp
fil de nouvelles; N m s
fils de nouvelles; N m p
aides ménagères; N f p
France Bleu; Z e sp
Central Intelligence Agency; Z e sp
Grand Paris; N m sp
Rio Grande; Z e sp
Sales Manager; N e sp
Sidi Bel Abbés; Z e sp
Eurico Sales; Z e sp
Commodity Futures Trading Commission; Z e sp
Future Man; Z e sp
Égypte Ancienne; N m s
Vibrio spp	Z e sp
Vibrio vulnificus	Z e sp
Société des Instruments Anciens; Z e sp
Vicugna pacos	Z e sp
Vicugna sp	Z e sp
Vicugna spp	Z e sp
Vidua fischeri	Z e sp
Vidua macroura	Z e sp
Vidua sp	Z e sp
Vidua spp	Z e sp
Vitis sp	Z e sp
Vitis spp	Z e sp
Vitis vinifera	Z e sp
Vitrella brassicaformis	Z e sp
Vitrella sp	Z e sp
Vitrella spp	Z e sp
Vulpes sp	Z e sp
Vulpes spp	Z e sp
Vulpes vulpes	Z e sp
Xenopus laevis	Z e sp
